CREATEDAT,CREATEDAT,LASTCHANGEDAT,LASTCHANGEDBY,productID,productName,productCategory,productModel,productBrand,productYear,productColor,productSize,productCondition,price,currencyCode_code,stockQuantity,image,productDescription
CREATEDAT,CREATEDAT,LASTCHANGEDAT,LASTCHANGEDBY,productID,productName,productCategory,productModel,productBrand,productYear,productColor,productSize,productCondition,price,currencyCode_code,stockQuantity,image,productDescription
,,,,1TP-F83J0-V0-00,Bolt Windshield,Motorcycle,BOLT,Yamaha,2024,,,,351.99,USD,100,https://github.com/dewdale/images/raw/main/1TP-F83J0-V0-00.gif,"The Bolt Quick Release Windshield is made of tough 3mm polycarbonate treated with the new-generation Quantum  coating to provide a long lasting, durable, protective finish."
,,,,1TP-F47E0-T0-00,Bolt Passenger Seat,Motorcycle,BOLT,Yamaha,2024,,,,329.99,USD,100,https://github.com/dewdale/images/raw/main/1TP-F47E0-T0-00.gif,"The Passenger Seat Kit is a convenient kit that allows you to quickly convert any Bolt to a two-up ride to accommodate a passenger. Kit includes passenger seat, foot pegs, and all necessary mounting hardware."
,,,,DBY-ACC56-24-56,V3 Fuel Cap,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,129.99,USD,100,https://github.com/dewdale/images/raw/main/DBY-ACC56-24-56.gif,The V3 offers a new and improved style and design compared to the classic Vortex  design.
,,,,23P-F47C0-V0-00,Super T n r  Lowered Seat,Motorcycle,SUPER TENERE ES,Yamaha,2024,,,,261.99,USD,100,https://github.com/dewdale/images/raw/main/23P-F47C0-V0-00.gif,This accessory seat is narrower and 35mm lower than the stock seat. This seat makes it easier for many riders to plant their feet on the ground. It is made of a strong durable material designed to withstand the elements.
,,,,1TP-F83J0-T0-00,Bolt Mini Fairing,Motorcycle,BOLT,Yamaha,2024,,,,398.99,USD,100,https://github.com/dewdale/images/raw/main/1TP-F83J0-T0-00.gif,Install the Bolt Mini Fairing to deflect wind when in motion. Constructed of an injected molded PPE/PA body.
,,,,GYT-5PA35-10-AL,GYTR Clutch Cover,Motorcycle,YZ85L,Yamaha,2024,,,,137.99,USD,100,https://github.com/dewdale/images/raw/main/GYT-5PA35-10-AL.gif,"Precision-machined from the highest grade of aluminum and then anodized to achieve an exceptionally hard, wear resistant surface."
,,,,GYT-5PA56-20-00,GYTR Clutch Pressure Plate,Motorcycle,YZ85L,Yamaha,2024,,,,179.99,USD,100,https://github.com/dewdale/images/raw/main/GYT-5PA56-20-00.gif,"Precision-machined from the highest grade of aluminum, then hard anodized to achieve an exceptionally hard, wear-resistant surface for amazing race-proven durability. Additional oil passages help improve clutch performance and also contribute to a 30% weight reduction and less rotational mass for improved acceleration."
,,,,2UD-F83J0-V0-00,ATV Windshield,ATV,GRIZZLY 700 4X4 EPS,Yamaha,2024,,,,375.99,USD,100,https://github.com/dewdale/images/raw/main/2UD-F83J0-V0-00.gif,"Provides generous protection from cold, wind, debris to riders hands, chest, head for enhanced comfort."
,,,,B16-F85H0-V0-00,ATV Receiver Hitch,ATV,GRIZZLY 700 4X4 EPS,Yamaha,2024,,,,87.99,USD,100,https://github.com/dewdale/images/raw/main/B16-F85H0-V0-00.gif,This 2 Receiver Hitch is an easy bolt-on that allows you to use a standard ball mount to haul a small trailer or other implement with ease.
,,,,DBY-ACC56-00-48,Kodiak 450 Seat Heater,ATV,GRIZZLY 700 4X4 EPS,Yamaha,2024,,,,119.99,USD,2https://github.com/dewdale/images/raw/main/DBY-ACC56-00-48.gif,The ATV Seat Heater by Heat Demon is a thin, flexible seat heater that installs underneath stock seat cover and warms up fast. Includes on/off switch or can be used with the controller that comes with the Heat Demon.ATV Heated Grips, sold separately. 
,,,,2UD-F83J0-V0-00,ATV Windshield,ATV,KODIAK 450 4X4 EPS ,Yamaha,2024,,,,375.99,USD,100,https://github.com/dewdale/images/raw/main/2UD-F83J0-V0-00.gif,"Provides generous protection from cold, wind, debris to riders hands, chest, head for enhanced comfort."
,,,,17S-WB024-00-00,Wheel Bearing Kit,ATV,KODIAK 450 4X4 EPS ,Yamaha,2024,,,,76.99,USD,100,https://github.com/dewdale/images/raw/main/17S-WB024-00-00.gif,Yamaha Genuine OE replacement wheel bearing kit with 1-year limited manufacturer warranty.
,,,,BB5-F85F0-V0-00,Kodiak 450 Front Brush Guard,ATV,KODIAK 450 4X4 EPS ,Yamaha,2024,,,,135.99,USD,100,https://github.com/dewdale/images/raw/main/BB5-F85F0-V0-00.gif,This rugged Front Brush Guard is designed to provide additional protection while you are out on the trail. It was designed to seamlessly integrate with the front profile of the Kodiak 450.
,,,,BTX-20HL0-00-00,BTX20HL Battery,ATV,KODIAK 450 4X4 EPS ,Yamaha,2024,,,,84.99,USD,100,https://github.com/dewdale/images/raw/main/BTX-20HL0-00-00.gif,"BTX20HL battery is a part of BS Battery SLA range. Designed to make the user life easier, this 12V 18.9Ah battery is ready to use, 100% maintenance free and completely spill proof. Extremely simple to install & carry, this BTX20HL battery offers increased power, extended life and maximum reliability to all powersport vehicles that require high performance."
,,,,BTX-20HL0-00-00,BTX20HL Battery,ATV,GRIZZLY 700 4X4 EPS,Yamaha,2024,,,,84.99,USD,100,https://github.com/dewdale/images/raw/main/BTX-20HL0-00-00.gif,"BTX20HL battery is a part of BS Battery SLA range. Designed to make the user life easier, this 12V 18.9Ah battery is ready to use, 100% maintenance free and completely spill proof. Extremely simple to install & carry, this BTX20HL battery offers increased power, extended life and maximum reliability to all powersport vehicles that require high performance."
,,,,DBY-ACC51-70-22,NLP5 Lithium Battery,Scooter,XMAX,NOCO,2024,,,,99.95,USD,100,https://github.com/dewdale/images/raw/main/DBY-ACC51-70-22.gif,"The NOCO Lithium NLP5 12V Powersport Battery is a Group 5 battery rated at 2Ah (25Wh) with 250 amps of starting power. It's better than lead-acid motorcycle batteries in almost every way: no sulfation, no activation, no acid, no maintenance and no water needed. Comes fully charged and ready to install."
,,,,DBY-ACC56-24-91,Universal Tech Gripper,Scooter,XMAX,Yamaha,2024,,,,45.99,USD,100,https://github.com/dewdale/images/raw/main/DBY-ACC56-24-91.gif,New 4G Tech Gripper design allows attachment to any Techmount ball.
,,,,BJC-F83J0-V0-00,Zuma 125 Windshield,Scooter,ZUMA 125,Yamaha,2024,,,,279.99,USD,100,https://github.com/dewdale/images/raw/main/BJC-F83J0-V0-00.gif,Works with the Zuma 125 Hand Guards
,,,,BJC-F85F0-V0-00,Zuma 125 Hand Guards,Scooter,ZUMA 125,Yamaha,2024,,,,84.99,USD,100,https://github.com/dewdale/images/raw/main/BJC-F85F0-V0-00.gif,Works with the Zuma 125 Windshield. Easy bolt-on installation
